age,sex,children,smoker,exp,expenses
19,female,0,yes,16884.92,16885
18,male,1,no,1725.55,1726
28,male,3,no,4449.46,4449
33,male,0,no,21984.47,21984
32,male,0,no,3866.86,3867
31,female,0,no,3756.62,3757
46,female,1,no,8240.59,8241
37,female,3,no,7281.51,7282
37,male,2,no,6406.41,6406
60,female,0,no,28923.14,28923
25,male,0,no,2721.32,2721
62,female,0,yes,27808.73,27809
23,male,0,no,1826.84,1827
56,female,0,no,11090.72,11091
27,male,0,yes,39611.76,39612
19,male,1,no,1837.24,1837
52,female,1,no,10797.34,10797
23,male,0,no,2395.17,2395
56,male,0,no,10602.39,10602
30,male,0,yes,36837.47,36837
60,female,0,no,13228.85,13229
30,female,1,no,4149.74,4150
18,male,0,no,1137.01,1137
34,female,1,yes,37701.88,37702
37,male,2,no,6203.9,6204
59,female,3,no,14001.13,14001
63,female,0,no,14451.84,14452
55,female,2,no,12268.63,12269
23,male,1,no,2775.19,2775
31,male,2,yes,38711,38711
22,male,0,yes,35585.58,35586
18,female,0,no,2198.19,2198
19,female,5,no,4687.8,4688
63,male,0,no,13770.1,13770
28,male,1,yes,51194.56,51195
19,male,0,no,1625.43,1625
62,female,3,no,15612.19,15612
26,male,0,no,2302.3,2302
35,male,1,yes,39774.28,39774
60,male,0,yes,48173.36,48173
24,female,0,no,3046.06,3046
31,female,2,no,4949.76,4950
41,male,1,no,6272.48,6272
37,female,2,no,6313.76,6314
38,male,1,no,6079.67,6080
55,male,0,no,20630.28,20630
18,female,2,no,3393.36,3393
28,female,0,no,3556.92,3557
60,female,0,no,12629.9,12630
36,male,1,yes,38709.18,38709
18,female,0,no,2211.13,2211
21,female,2,no,3579.83,3580
48,male,1,yes,23568.27,23568
36,male,0,yes,37742.58,37743
40,female,3,no,8059.68,8060
58,male,2,yes,47496.49,47496
58,female,2,no,13607.37,13607
18,male,2,yes,34303.17,34303
53,female,1,yes,23244.79,23245
34,female,2,no,5989.52,5990
43,male,3,no,8606.22,8606
25,male,4,no,4504.66,4505
64,male,1,no,30166.62,30167
28,female,1,no,4133.64,4134
20,female,0,yes,14711.74,14712
19,female,0,no,1743.21,1743
61,female,2,no,14235.07,14235
40,male,1,no,6389.38,6389
40,female,0,no,5920.1,5920
28,male,3,yes,17663.14,17663
27,female,0,yes,16577.78,16578
31,male,5,no,6799.46,6799
53,female,3,no,11741.73,11742
58,male,1,no,11946.63,11947
44,male,2,no,7726.85,7727
57,male,0,no,11356.66,11357
29,female,1,no,3947.41,3947
21,male,0,no,1532.47,1532
22,female,0,no,2755.02,2755
41,female,0,no,6571.02,6571
31,male,1,no,4441.21,4441
45,female,0,no,7935.29,7935
22,male,1,yes,37165.16,37165
48,female,4,no,11033.66,11034
37,female,2,yes,39836.52,39837
45,male,2,yes,21098.55,21099
57,female,0,yes,43578.94,43579
56,female,0,no,11073.18,11073
46,female,0,no,8026.67,8027
55,female,0,no,11082.58,11083
21,female,0,no,2026.97,2027
53,female,1,no,10942.13,10942
59,male,3,yes,30184.94,30185
35,male,2,no,5729.01,5729
64,female,2,yes,47291.06,47291
28,female,1,no,3766.88,3767
54,female,3,no,12105.32,12105
55,male,0,no,10226.28,10226
56,male,0,yes,22412.65,22413
38,male,0,yes,15820.7,15821
41,female,0,no,6186.13,6186
30,male,0,no,3645.09,3645
18,female,0,no,21344.85,21345
61,female,3,yes,30942.19,30942
34,female,1,no,5003.85,5004
20,male,1,yes,17560.38,17560
19,female,1,no,2331.52,2332
26,male,2,no,3877.3,3877
29,male,0,no,2867.12,2867
63,male,0,yes,47055.53,47056
54,male,1,no,10825.25,10825
55,female,2,no,11881.36,11881
37,male,0,no,4646.76,4647
21,female,0,no,2404.73,2405
52,male,3,no,11488.32,11488
60,male,0,no,30260,30260
58,male,0,no,11381.33,11381
29,female,1,yes,19107.78,19108
49,female,0,no,8601.33,8601
37,female,2,no,6686.43,6686
44,male,2,no,7740.34,7740
18,male,0,no,1705.62,1706
20,female,0,no,2257.48,2257
44,male,1,yes,39556.49,39556
47,female,3,no,10115.01,10115
26,female,0,no,3385.4,3385
19,female,0,yes,17081.08,17081
52,female,0,no,9634.54,9635
32,female,2,yes,32734.19,32734
38,male,2,no,6082.41,6082
59,female,0,no,12815.44,12815
61,female,0,no,13616.36,13616
53,female,2,no,11163.57,11164
19,male,0,no,1632.56,1633
20,female,0,no,2457.21,2457
22,female,0,no,2155.68,2156
19,male,0,no,1261.44,1261
22,male,0,no,2045.69,2046
54,female,3,no,27322.73,27323
22,female,0,no,2166.73,2167
34,male,2,no,27375.9,27376
26,male,1,no,3490.55,3491
34,male,2,yes,18972.5,18973
29,male,2,no,18157.88,18158
30,male,3,yes,20745.99,20746
29,female,3,no,5138.26,5138
46,male,3,yes,40720.55,40721
51,female,1,no,9877.61,9878
53,female,1,no,10959.69,10960
19,male,1,no,1842.52,1843
35,male,1,no,5125.22,5125
48,male,0,no,7789.64,7790
32,female,3,no,6334.34,6334
42,female,0,yes,19964.75,19965
40,female,1,no,7077.19,7077
44,male,0,no,6948.7,6949
48,male,0,yes,21223.68,21224
18,male,0,yes,15518.18,15518
30,male,0,yes,36950.26,36950
50,female,3,no,19749.38,19749
42,female,0,yes,21348.71,21349
18,female,0,yes,36149.48,36149
54,male,1,no,10450.55,10451
32,female,2,no,5152.13,5152
37,male,0,no,5028.15,5028
47,male,4,no,10407.09,10407
20,female,5,no,4830.63,4831
32,female,3,no,6128.8,6129
19,female,1,no,2719.28,2719
27,male,3,no,4827.9,4828
63,male,0,no,13405.39,13405
49,male,0,no,8116.68,8117
18,male,0,no,1694.8,1695
35,female,1,no,5246.05,5246
24,female,0,no,2855.44,2855
63,female,0,yes,48824.45,48824
38,male,2,no,6455.86,6456
54,male,1,no,10436.1,10436
46,female,2,no,8823.28,8823
41,female,3,no,8538.29,8538
58,male,0,no,11735.88,11736
18,female,0,no,1631.82,1632
22,male,3,no,4005.42,4005
44,female,0,no,7419.48,7419
44,male,2,no,7731.43,7731
36,male,3,yes,43753.34,43753
26,female,2,no,3981.98,3982
30,female,3,no,5325.65,5326
41,female,1,no,6775.96,6776
29,female,2,no,4922.92,4923
61,male,0,no,12557.61,12558
36,female,0,no,4883.87,4884
25,male,0,no,2137.65,2138
56,female,1,no,12044.34,12044
18,male,0,no,1137.47,1137
19,male,0,no,1639.56,1640
39,female,0,no,5649.72,5650
45,female,2,no,8516.83,8517
51,female,0,no,9644.25,9644
64,female,0,no,14901.52,14902
19,female,0,no,2130.68,2131
48,female,1,no,8871.15,8871
60,female,0,no,13012.21,13012
27,female,0,yes,37133.9,37134
46,male,0,no,7147.11,7147
28,female,1,no,4337.74,4338
59,male,0,no,11743.3,11743
35,male,2,yes,20984.09,20984
63,female,0,no,13880.95,13881
40,male,1,no,6610.11,6610
20,male,1,no,1980.07,1980
40,male,4,no,8162.72,8163
24,male,2,no,3537.7,3538
34,female,1,no,5002.78,5003
45,female,2,no,8520.03,8520
41,female,2,no,7371.77,7372
53,female,0,no,10355.64,10356
27,male,0,no,2483.74,2484
26,female,1,no,3392.98,3393
24,female,0,no,25081.77,25082
34,female,1,no,5012.47,5012
53,female,0,no,10564.88,10565
32,male,3,no,5253.52,5254
19,male,0,yes,34779.62,34780
42,male,0,yes,19515.54,19516
55,male,3,no,11987.17,11987
28,male,0,no,2689.5,2690
58,female,0,no,24227.34,24227
41,female,1,no,7358.18,7358
47,male,2,no,9225.26,9225
42,female,1,no,7443.64,7444
59,female,3,no,14001.29,14001
19,female,0,no,1727.79,1728
59,male,1,no,12333.83,12334
39,male,2,no,6710.19,6710
40,female,2,yes,19444.27,19444
18,female,0,no,1615.77,1616
31,male,2,no,4463.21,4463
19,male,0,yes,17352.68,17353
44,male,1,no,7152.67,7153
23,female,2,yes,38511.63,38512
33,female,1,no,5354.07,5354
55,female,1,no,35160.13,35160
40,male,3,no,7196.87,7197
63,female,0,yes,29523.17,29523
54,male,0,no,24476.48,24476
60,female,0,no,12648.7,12649
24,male,0,no,1986.93,1987
19,male,1,no,1832.09,1832
29,male,1,no,4040.56,4041
18,male,2,yes,12829.46,12829
63,female,2,yes,47305.31,47305
54,male,2,yes,44260.75,44261
27,male,3,no,4260.74,4261
50,male,0,yes,41097.16,41097
55,female,3,no,13047.33,13047
56,male,0,yes,43921.18,43921
38,female,0,no,5400.98,5401
51,male,4,no,11520.1,11520
19,male,0,yes,33750.29,33750
58,female,0,no,11837.16,11837
20,female,1,yes,17085.27,17085
52,male,3,yes,24869.84,24870
19,male,0,yes,36219.41,36219
53,female,3,no,20463,20463
46,male,3,yes,46151.12,46151
40,male,1,yes,17179.52,17180
59,female,3,no,14590.63,14591
45,male,1,no,7441.05,7441
49,male,1,no,9282.48,9282
18,male,1,no,1719.44,1719
50,male,2,yes,42856.84,42857
41,male,2,no,7265.7,7266
50,male,1,no,9617.66,9618
25,male,0,no,2523.17,2523
47,female,2,no,9715.84,9716
19,male,2,no,2803.7,2804
22,female,0,no,2150.47,2150
59,male,2,no,12928.79,12929
51,female,1,no,9855.13,9855
40,female,1,yes,22331.57,22332
54,male,3,yes,48549.18,48549
30,male,1,no,4237.13,4237
55,female,1,no,11879.1,11879
52,female,0,no,9625.92,9626
46,male,1,no,7742.11,7742
46,female,2,no,9432.93,9433
63,female,0,no,14256.19,14256
59,female,1,yes,47896.79,47897
52,male,3,no,25992.82,25993
28,female,0,no,3172.02,3172
29,male,1,no,20277.81,20278
25,male,2,yes,42112.24,42112
22,female,0,no,2156.75,2157
25,male,3,no,3906.13,3906
18,male,0,no,1704.57,1705
19,male,0,yes,16297.85,16298
47,male,1,yes,21978.68,21979
31,male,3,yes,38746.36,38746
48,female,1,no,9249.5,9250
36,male,3,no,6746.74,6747
53,female,3,yes,24873.38,24873
56,female,2,no,12265.51,12266
28,female,2,no,4349.46,4349
57,female,2,no,12646.21,12646
29,male,2,no,19442.35,19442
28,female,2,no,20177.67,20178
30,female,1,no,4151.03,4151
58,male,0,no,11944.59,11945
41,female,2,no,7749.16,7749
50,male,0,no,8444.47,8444
19,female,0,no,1737.38,1737
43,male,3,yes,42124.52,42125
49,male,0,no,8124.41,8124
27,female,0,yes,34838.87,34839
52,male,0,no,9722.77,9723
50,male,0,no,8835.26,8835
54,male,0,no,10435.07,10435
44,female,0,no,7421.19,7421
32,male,1,no,4667.61,4668
34,male,1,no,4894.75,4895
26,female,4,no,24671.66,24672
34,male,0,yes,35491.64,35492
57,male,0,no,11566.3,11566
29,male,0,no,2866.09,2866
40,male,1,no,6600.21,6600
27,female,1,no,3561.89,3562
45,male,2,yes,42760.5,42761
64,female,1,yes,47928.03,47928
52,male,0,no,9144.57,9145
61,female,1,yes,48517.56,48518
52,male,0,yes,24393.62,24394
61,female,0,no,13429.04,13429
56,female,0,no,11658.38,11658
43,female,2,no,19144.58,19145
64,male,0,no,13822.8,13823
60,male,0,no,12142.58,12143
62,male,1,no,13937.67,13938
50,male,1,yes,41919.1,41919
46,female,1,no,8232.64,8233
24,female,0,no,18955.22,18955
62,male,0,no,13352.1,13352
60,female,0,no,13217.09,13217
63,male,0,no,13981.85,13982
49,female,4,no,10977.21,10977
34,female,3,no,6184.3,6184
33,male,2,no,4890,4890
46,male,1,no,8334.46,8334
36,female,1,no,5478.04,5478
19,male,0,no,1635.73,1636
57,female,0,no,11830.61,11831
50,female,0,no,8932.08,8932
30,female,0,no,3554.2,3554
33,male,0,no,12404.88,12405
18,female,0,no,14133.04,14133
46,male,0,no,24603.05,24603
46,male,3,no,8944.12,8944
47,male,3,no,9620.33,9620
23,male,0,no,1837.28,1837
18,female,0,no,1607.51,1608
48,female,2,no,10043.25,10043
35,male,1,no,4751.07,4751
19,female,0,yes,13844.51,13845
21,female,1,no,2597.78,2598
21,female,2,no,3180.51,3181
49,female,1,no,9778.35,9778
56,female,3,no,13430.27,13430
42,female,2,no,8017.06,8017
44,male,2,no,8116.27,8116
18,male,3,no,3481.87,3482
61,female,0,no,13415.04,13415
57,female,0,no,12029.29,12029
42,female,1,no,7639.42,7639
26,male,2,yes,36085.22,36085
20,male,0,no,1391.53,1392
23,female,0,yes,18033.97,18034
39,female,3,yes,21659.93,21660
24,male,0,yes,38126.25,38126
64,female,3,no,16455.71,16456
62,male,1,no,27000.98,27001
27,female,2,yes,15006.58,15007
55,male,0,yes,42303.69,42304
55,male,0,no,20781.49,20781
35,female,2,no,5846.92,5847
44,male,2,no,8302.54,8303
19,male,0,no,1261.86,1262
58,female,0,no,11856.41,11856
50,male,2,no,30284.64,30285
26,female,0,no,3176.82,3177
24,female,3,no,4618.08,4618
48,male,4,no,10736.87,10737
19,female,0,no,2138.07,2138
48,male,1,no,8964.06,8964
49,male,1,no,9290.14,9290
46,female,2,no,9411.01,9411
46,male,0,no,7526.71,7527
43,female,3,no,8522,8522
21,male,0,no,16586.5,16587
64,male,2,no,14988.43,14988
18,female,0,no,1631.67,1632
51,female,0,no,9264.8,9265
47,male,1,no,8083.92,8084
64,female,0,no,14692.67,14693
49,male,3,no,10269.46,10269
31,male,0,no,3260.2,3260
52,female,2,no,11396.9,11397
33,female,0,no,4185.1,4185
47,female,1,no,8539.67,8540
38,male,3,no,6652.53,6653
32,male,1,no,4074.45,4074
19,male,0,no,1621.34,1621
44,female,1,yes,19594.81,19595
26,female,2,yes,14455.64,14456
25,male,5,no,5080.1,5080
19,female,0,no,2134.9,2135
43,female,1,no,7345.73,7346
52,male,0,no,9140.95,9141
36,female,2,yes,18608.26,18608
64,male,1,no,14418.28,14418
63,female,0,yes,28950.47,28950
64,male,0,yes,46889.26,46889
61,male,0,yes,46599.11,46599
40,male,1,yes,39125.33,39125
25,male,0,no,2727.4,2727
48,male,2,no,8968.33,8968
45,male,5,no,9788.87,9789
38,female,1,no,6555.07,6555
18,female,0,no,7323.73,7324
21,female,1,no,3167.46,3167
27,female,3,no,18804.75,18805
19,male,0,no,23082.96,23083
29,female,2,no,4906.41,4906
42,male,0,no,5969.72,5970
60,female,0,no,12638.2,12638
31,male,1,no,4243.59,4244
60,male,3,no,13919.82,13920
22,male,0,no,2254.8,2255
35,male,3,no,5926.85,5927
52,female,5,no,12592.53,12593
26,male,0,no,2897.32,2897
31,female,1,no,4738.27,4738
33,female,0,yes,37079.37,37079
18,male,0,no,1149.4,1149
59,female,1,no,28287.9,28288
56,male,1,yes,26109.33,26109
45,female,0,no,7345.08,7345
60,male,0,no,12731,12731
56,female,0,no,11454.02,11454
40,female,0,no,5910.94,5911
35,male,1,no,4762.33,4762
39,male,4,no,7512.27,7512
30,male,1,no,4032.24,4032
24,male,0,no,1969.61,1970
20,male,0,no,1769.53,1770
32,male,2,no,4686.39,4686
59,male,0,no,21797,21797
55,female,2,no,11881.97,11882
57,female,0,no,11840.78,11841
56,male,0,no,10601.41,10601
40,female,3,no,7682.67,7683
49,female,3,no,10381.48,10381
42,male,0,yes,22144.03,22144
62,female,2,no,15230.32,15230
56,male,0,no,11165.42,11165
19,male,0,no,1632.04,1632
30,female,1,yes,19521.97,19522
60,female,1,no,13224.69,13225
56,female,2,no,12643.38,12643
28,female,1,no,23288.93,23289
18,female,1,no,2201.1,2201
27,male,0,no,2497.04,2497
18,female,0,no,2203.47,2203
19,female,0,no,1744.47,1744
47,female,0,no,20878.78,20879
54,male,3,yes,25382.3,25382
61,male,1,yes,28868.66,28869
24,male,0,yes,35147.53,35148
25,male,0,no,2534.39,2534
21,male,0,no,1534.3,1534
23,male,0,no,1824.29,1824
63,male,3,no,15555.19,15555
49,male,2,no,9304.7,9305
18,female,0,no,1622.19,1622
51,female,1,no,9880.07,9880
48,male,3,no,9563.03,9563
31,female,0,no,4347.02,4347
54,female,3,no,12475.35,12475
19,male,0,no,1253.94,1254
44,female,0,yes,48885.14,48885
53,male,1,no,10461.98,10462
19,female,0,no,1748.77,1749
61,female,0,no,24513.09,24513
18,female,0,no,2196.47,2196
61,male,0,no,12574.05,12574
21,male,4,yes,17942.11,17942
20,male,0,no,1967.02,1967
31,female,2,no,4931.65,4932
45,male,2,no,8027.97,8028
44,female,2,no,8211.1,8211
62,female,0,no,13470.86,13471
29,male,0,yes,36197.7,36198
43,male,0,no,6837.37,6837
51,male,1,yes,22218.11,22218
19,male,0,yes,32548.34,32548
38,female,1,no,5974.38,5974
37,male,3,no,6796.86,6797
22,male,1,no,2643.27,2643
21,male,2,no,3077.1,3077
24,female,0,no,3044.21,3044
57,female,0,no,11455.28,11455
56,male,1,no,11763,11763
27,male,0,no,2498.41,2498
51,male,0,no,9361.33,9361
19,male,0,no,1256.3,1256
39,male,1,yes,21082.16,21082
58,male,0,no,11362.76,11363
20,male,1,no,27724.29,27724
45,male,2,no,8413.46,8413
35,female,1,no,5240.77,5241
31,male,0,no,3857.76,3858
50,female,0,no,25656.58,25657
32,female,0,no,3994.18,3994
51,female,0,no,9866.3,9866
38,female,0,no,5397.62,5398
42,male,1,yes,38245.59,38246
18,female,0,no,11482.63,11483
19,female,2,no,24059.68,24060
51,female,1,no,9861.03,9861
46,male,1,no,8342.91,8343
18,male,0,no,1708,1708
57,male,1,yes,48675.52,48676
62,female,0,no,14043.48,14043
59,male,2,no,12925.89,12926
37,male,0,no,19214.71,19215
64,male,0,no,13831.12,13831
38,male,1,no,6067.13,6067
33,female,3,no,5972.38,5972
46,female,2,no,8825.09,8825
46,female,1,no,8233.1,8233
53,male,0,no,27346.04,27346
34,female,3,no,6196.45,6196
20,female,2,no,3056.39,3056
63,female,0,no,13887.2,13887
54,female,0,yes,63770.43,63770
54,male,0,no,10231.5,10232
49,male,2,yes,23807.24,23807
28,male,0,no,3268.85,3269
54,female,2,no,11538.42,11538
25,female,0,no,3213.62,3214
43,female,0,yes,45863.21,45863
63,male,0,no,13390.56,13391
32,female,0,no,3972.92,3973
62,male,0,no,12957.12,12957
52,female,2,no,11187.66,11188
25,female,0,no,17878.9,17879
28,male,2,no,3847.67,3848
46,male,1,no,8334.59,8335
34,male,0,no,3935.18,3935
35,female,3,yes,39983.43,39983
19,male,0,no,1646.43,1646
46,female,2,no,9193.84,9194
54,female,0,no,10923.93,10924
27,male,0,no,2494.02,2494
50,male,1,no,9058.73,9059
18,female,2,no,2801.26,2801
19,female,0,no,2128.43,2128
38,female,1,no,6373.56,6374
41,male,2,no,7256.72,7257
49,female,5,no,11552.9,11553
48,male,2,yes,45702.02,45702
31,female,0,no,3761.29,3761
18,female,1,no,2219.45,2219
30,female,2,no,4753.64,4754
62,female,1,no,31620,31620
57,female,2,no,13224.06,13224
58,female,0,no,12222.9,12223
22,male,0,no,1665,1665
31,female,1,yes,58571.07,58571
52,male,1,no,9724.53,9725
25,female,0,no,3206.49,3206
59,male,1,no,12913.99,12914
19,male,0,no,1639.56,1640
39,male,2,no,6356.27,6356
32,female,1,no,17626.24,17626
19,male,0,no,1242.82,1243
33,female,1,no,4779.6,4780
21,male,3,no,3861.21,3861
34,female,1,yes,43943.88,43944
61,female,0,no,13635.64,13636
38,female,1,no,5976.83,5977
58,female,0,no,11842.44,11842
47,male,1,no,8428.07,8428
20,male,2,no,2566.47,2566
21,female,1,yes,15359.1,15359
41,male,0,no,5709.16,5709
46,female,1,no,8823.99,8824
42,female,2,no,7640.31,7640
34,female,1,no,5594.85,5595
43,male,2,no,7441.5,7442
52,female,2,no,33471.97,33472
18,female,0,no,1633.04,1633
51,male,0,no,9174.14,9174
56,female,0,no,11070.54,11071
64,female,3,no,16085.13,16085
19,female,0,yes,17468.98,17469
51,female,0,no,9283.56,9284
27,female,0,no,3558.62,3559
59,female,0,yes,25678.78,25679
28,male,2,no,4435.09,4435
30,male,2,yes,39241.44,39241
47,female,1,no,8547.69,8548
38,female,2,no,6571.54,6572
18,female,0,no,2207.7,2208
34,female,3,no,6753.04,6753
20,female,0,no,1880.07,1880
47,female,1,yes,42969.85,42970
56,female,0,no,11658.12,11658
49,male,2,yes,23306.55,23307
19,female,0,yes,34439.86,34440
55,female,0,no,10713.64,10714
30,male,1,no,3659.35,3659
37,male,4,yes,40182.25,40182
49,female,1,no,9182.17,9182
18,male,0,yes,34617.84,34618
59,male,0,no,12129.61,12130
29,female,0,no,3736.46,3736
36,male,3,no,6748.59,6749
33,male,1,no,11326.71,11327
58,male,0,no,11365.95,11366
44,female,0,yes,42983.46,42983
53,male,1,no,10085.85,10086
24,male,0,no,1977.82,1978
29,female,0,no,3366.67,3367
40,male,2,no,7173.36,7173
51,male,1,no,9391.35,9391
64,male,0,no,14410.93,14411
19,female,1,no,2709.11,2709
35,female,2,no,24915.05,24915
39,male,0,yes,20149.32,20149
56,male,4,no,12949.16,12949
33,male,5,no,6666.24,6666
42,male,3,yes,32787.46,32787
61,male,0,no,13143.86,13144
23,female,3,no,4466.62,4467
43,male,2,no,18806.15,18806
48,male,3,no,10141.14,10141
39,male,1,no,6123.57,6124
40,female,3,no,8252.28,8252
18,male,0,no,1712.23,1712
58,female,0,no,12430.95,12431
49,female,2,no,9800.89,9801
53,female,1,no,10579.71,10580
48,female,0,no,8280.62,8281
45,female,2,no,8527.53,8528
59,female,0,no,12244.53,12245
52,female,2,yes,24667.42,24667
26,female,1,no,3410.32,3410
27,male,2,no,4058.71,4059
48,female,1,no,26392.26,26392
57,female,4,no,14394.4,14394
37,male,3,no,6435.62,6436
57,female,1,no,22192.44,22192
32,female,1,no,5148.55,5149
18,male,0,no,1136.4,1136
64,female,0,yes,27037.91,27038
43,male,2,yes,42560.43,42560
49,male,1,no,8703.46,8703
40,female,2,yes,40003.33,40003
