age,sex,children,smoker,exp,expenses
62,male,0,yes,45710.21,45710
40,female,1,no,6500.24,6500
30,male,3,no,4837.58,4838
29,female,0,no,3943.6,3944
36,male,0,no,4399.73,4400
41,female,0,no,6185.32,6185
44,female,2,yes,46200.99,46201
45,male,0,no,7222.79,7223
55,female,3,no,12485.8,12486
60,male,3,yes,46130.53,46131
56,male,3,no,12363.55,12364
49,female,2,no,10156.78,10157
21,female,1,no,2585.27,2585
19,male,0,no,1242.26,1242
39,male,2,yes,40103.89,40104
53,male,0,no,9863.47,9863
33,female,1,no,4766.02,4766
53,male,2,no,11244.38,11244
42,male,2,no,7729.65,7730
40,male,0,no,5438.75,5439
47,female,1,no,26236.58,26237
27,male,1,yes,34806.47,34806
21,male,0,no,2104.11,2104
47,male,1,no,8068.19,8068
20,male,1,no,2362.23,2362
24,male,0,no,2352.97,2353
27,female,1,no,3578,3578
26,female,0,no,3201.25,3201
53,female,2,no,29186.48,29186
41,male,1,yes,40273.65,40274
56,male,0,no,10976.25,10976
23,female,2,no,3500.61,3501
21,female,0,no,2020.55,2021
50,female,0,no,9541.7,9542
53,male,0,no,9504.31,9504
34,female,1,no,5385.34,5385
47,female,1,no,8930.93,8931
33,female,2,no,5375.04,5375
51,female,0,yes,44400.41,44400
49,male,3,no,10264.44,10264
31,female,3,no,6113.23,6113
36,female,0,no,5469.01,5469
18,male,1,no,1727.54,1728
50,female,2,no,10107.22,10107
43,female,2,no,8310.84,8311
20,male,0,no,1984.45,1984
24,female,0,no,2457.5,2458
60,male,0,no,12146.97,12147
49,female,1,no,9566.99,9567
60,male,1,no,13112.6,13113
51,female,2,no,10848.13,10848
58,female,0,no,12231.61,12232
51,female,0,no,9875.68,9876
53,male,3,no,11264.54,11265
62,male,0,no,12979.36,12979
19,male,0,no,1263.25,1263
50,female,1,no,10106.13,10106
30,female,3,yes,40932.43,40932
41,male,1,no,6664.69,6665
29,female,1,yes,16657.72,16658
18,female,0,no,2217.6,2218
41,female,1,no,6781.35,6781
35,male,3,yes,19362,19362
53,male,1,no,10065.41,10065
24,female,3,no,4234.93,4235
48,female,1,no,9447.25,9447
59,female,3,no,14007.22,14007
49,female,1,no,9583.89,9584
37,female,0,yes,40419.02,40419
26,male,2,no,3484.33,3484
23,male,3,yes,36189.1,36189
29,male,2,yes,44585.46,44585
45,male,2,no,8604.48,8604
27,male,0,yes,18246.5,18247
53,male,0,yes,43254.42,43254
31,female,0,no,3757.84,3758
50,male,0,no,8827.21,8827
50,female,1,no,9910.36,9910
34,male,2,no,11737.85,11738
19,male,0,no,1627.28,1627
47,female,1,no,8556.91,8557
28,male,0,no,3062.51,3063
37,female,0,yes,19539.24,19539
21,male,0,no,1906.36,1906
64,male,0,no,14210.54,14211
58,female,0,no,11833.78,11834
24,male,4,no,17128.43,17128
31,male,2,no,5031.27,5031
39,female,3,no,7985.82,7986
47,female,0,yes,23065.42,23065
30,male,3,no,5428.73,5429
18,male,0,yes,36307.8,36308
22,female,2,no,3925.76,3926
23,male,1,no,2416.96,2417
33,male,1,yes,19040.88,19041
27,male,0,no,3070.81,3071
45,female,2,no,9095.07,9095
57,female,0,no,11842.62,11843
47,male,1,no,8062.76,8063
42,female,1,no,7050.64,7051
64,female,0,no,14319.03,14319
38,female,2,no,6933.24,6933
61,male,3,no,27941.29,27941
53,female,2,no,11150.78,11151
44,female,0,no,12797.21,12797
19,female,0,yes,17748.51,17749
41,male,2,no,7261.74,7262
51,male,3,no,10560.49,10560
40,male,2,no,6986.7,6987
45,male,0,no,7448.4,7448
35,male,3,no,5934.38,5934
53,male,0,no,9869.81,9870
30,male,3,yes,18259.22,18259
18,male,0,no,1146.8,1147
51,male,1,no,9386.16,9386
50,female,1,yes,24520.26,24520
31,female,1,no,4350.51,4351
35,female,3,no,6414.18,6414
60,male,0,no,12741.17,12741
21,male,0,no,1917.32,1917
29,male,3,no,5209.58,5210
62,female,0,no,13457.96,13458
39,female,0,no,5662.23,5662
19,male,0,no,1252.41,1252
22,female,0,no,2731.91,2732
53,male,0,yes,21195.82,21196
39,female,2,no,7209.49,7209
27,male,0,yes,18310.74,18311
30,male,2,no,4266.17,4266
30,female,1,no,4719.52,4720
58,female,0,no,11848.14,11848
33,male,0,yes,17904.53,17905
42,female,1,no,7046.72,7047
64,female,0,no,14313.85,14314
21,male,1,no,2103.08,2103
18,female,0,yes,38792.69,38793
23,male,0,no,1815.88,1816
45,female,0,no,7731.86,7732
40,female,1,no,28476.73,28477
19,female,0,no,2136.88,2137
18,male,0,no,1131.51,1132
25,male,1,no,3309.79,3310
46,female,3,no,9414.92,9415
33,female,3,no,6360.99,6361
54,male,2,no,11013.71,11014
28,male,2,no,4428.89,4429
36,male,2,no,5584.31,5584
20,female,0,no,1877.93,1878
24,female,0,no,2842.76,2843
23,male,3,no,3597.6,3598
47,female,1,yes,23401.31,23401
33,female,0,yes,55135.4,55135
45,male,1,no,7445.92,7446
26,male,0,no,2680.95,2681
18,female,0,no,1621.88,1622
44,female,2,no,8219.2,8219
60,male,0,no,12523.6,12524
64,female,2,no,16069.08,16069
56,male,2,yes,43813.87,43814
36,male,1,yes,20773.63,20774
41,male,3,yes,39597.41,39597
39,male,1,no,6117.49,6117
63,male,0,no,13393.76,13394
36,female,0,no,5266.37,5266
28,female,2,no,4719.74,4720
58,male,0,no,11743.93,11744
36,male,1,no,5377.46,5377
42,male,2,no,7160.33,7160
36,male,0,no,4402.23,4402
56,female,0,no,11657.72,11658
35,female,2,no,6402.29,6402
59,female,0,no,12622.18,12622
21,male,0,no,1526.31,1526
59,male,0,no,12323.94,12324
23,female,2,yes,36021.01,36021
57,female,0,yes,27533.91,27534
53,male,0,no,10072.06,10072
60,female,0,yes,45008.96,45009
51,female,1,no,9872.7,9873
23,male,1,no,2438.06,2438
27,female,0,no,2974.13,2974
55,male,0,no,10601.63,10602
37,female,0,yes,37270.15,37270
61,male,2,no,14119.62,14120
46,female,0,yes,42111.66,42112
53,female,2,no,11729.68,11730
49,female,3,yes,24106.91,24107
20,female,0,no,1875.34,1875
48,female,0,yes,40974.16,40974
25,male,0,yes,15817.99,15818
25,female,1,no,18218.16,18218
57,male,0,no,10965.45,10965
37,female,2,yes,46113.51,46114
38,female,3,no,7151.09,7151
55,female,2,no,12269.69,12270
36,female,0,no,5458.05,5458
51,male,0,no,8782.47,8782
40,male,2,no,6600.36,6600
18,male,0,no,1141.45,1141
57,male,1,no,11576.13,11576
61,male,0,no,13129.6,13130
25,female,3,no,4391.65,4392
50,male,0,no,8457.82,8458
26,female,1,no,3392.37,3392
42,male,0,no,5966.89,5967
43,male,1,no,6849.03,6849
44,male,3,no,8891.14,8891
23,female,0,no,2690.11,2690
49,female,1,no,26140.36,26140
33,male,5,no,6653.79,6654
41,male,1,no,6282.24,6282
37,female,2,no,6311.95,6312
22,male,3,no,3443.06,3443
23,male,1,no,2789.06,2789
21,female,0,no,2585.85,2586
51,female,3,yes,46255.11,46255
25,male,4,no,4877.98,4878
32,male,1,yes,19719.69,19720
57,male,0,yes,27218.44,27218
36,female,0,no,5272.18,5272
22,male,0,no,1682.6,1683
57,male,1,no,11945.13,11945
64,female,0,yes,29330.98,29331
36,female,4,no,7243.81,7244
54,male,0,no,10422.92,10423
47,male,2,yes,44202.65,44203
62,male,0,no,13555,13555
61,female,0,no,13063.88,13064
43,female,2,yes,19798.05,19798
19,male,1,no,2221.56,2222
18,female,0,no,1634.57,1635
19,female,0,no,2117.34,2117
49,male,0,no,8688.86,8689
60,male,0,yes,48673.56,48674
26,male,3,no,4661.29,4661
49,male,0,no,8125.78,8126
60,female,0,no,12644.59,12645
26,female,2,no,4564.19,4564
27,male,3,no,4846.92,4847
44,female,1,no,7633.72,7634
63,male,3,no,15170.07,15170
32,female,0,yes,17496.31,17496
22,male,1,no,2639.04,2639
18,male,0,yes,33732.69,33733
59,female,3,no,14382.71,14383
44,female,1,no,7626.99,7627
33,male,2,no,5257.51,5258
24,female,0,no,2473.33,2473
43,female,0,yes,21774.32,21774
45,male,0,yes,35069.37,35069
61,female,0,no,13041.92,13042
35,female,1,no,5245.23,5245
62,female,0,no,13451.12,13451
62,female,0,no,13462.52,13463
38,male,1,no,5488.26,5488
34,male,0,no,4320.41,4320
43,male,0,no,6250.44,6250
50,male,2,no,25333.33,25333
19,female,2,no,2913.57,2914
57,female,1,no,12032.33,12032
62,female,0,no,13470.8,13471
41,male,1,no,6289.75,6290
26,male,1,no,2927.06,2927
39,female,1,no,6238.3,6238
46,male,5,no,10096.97,10097
45,female,0,no,7348.14,7348
32,male,2,no,4673.39,4673
59,female,0,no,12233.83,12234
44,male,2,no,32108.66,32109
39,female,5,no,8965.8,8966
18,male,2,no,2304,2304
53,male,0,no,9487.64,9488
18,male,0,no,1121.87,1122
50,female,1,no,9549.57,9550
18,female,0,no,2217.47,2217
19,male,0,no,1628.47,1628
62,male,0,no,12982.87,12983
56,female,1,no,11674.13,11674
42,male,2,no,7160.09,7160
37,male,1,yes,39047.29,39047
42,male,0,no,6358.78,6359
25,male,3,yes,19933.46,19933
57,male,0,no,11534.87,11535
51,male,2,yes,47462.89,47463
30,female,1,no,4527.18,4527
44,male,2,yes,38998.55,38999
34,male,1,yes,20009.63,20010
31,male,1,no,3875.73,3876
54,male,1,yes,41999.52,42000
24,male,1,no,12609.89,12610
43,male,1,yes,41034.22,41034
48,male,1,no,28468.92,28469
19,female,1,no,2730.11,2730
29,female,0,no,3353.28,3353
63,female,1,no,14474.68,14475
46,male,3,no,9500.57,9501
52,male,2,no,26467.1,26467
35,male,1,no,4746.34,4746
51,male,2,yes,23967.38,23967
44,male,1,no,7518.03,7518
21,male,2,no,3279.87,3280
39,female,5,no,8596.83,8597
50,female,3,no,10702.64,10703
34,female,0,no,4992.38,4992
22,female,0,no,2527.82,2528
19,female,0,no,1759.34,1759
26,male,0,no,2322.62,2323
29,male,0,yes,16138.76,16139
48,male,0,no,7804.16,7804
26,male,1,no,2902.91,2903
45,female,3,no,9704.67,9705
36,female,0,no,4889.04,4889
54,male,1,no,25517.11,25517
34,male,0,no,4500.34,4500
31,male,3,yes,19199.94,19200
27,female,1,no,16796.41,16796
20,male,5,no,4915.06,4915
44,female,1,no,7624.63,7625
43,male,3,no,8410.05,8410
45,female,1,no,28340.19,28340
34,male,0,no,4518.83,4519
24,female,0,yes,14571.89,14572
26,female,1,no,3378.91,3379
38,female,2,no,7144.86,7145
50,female,2,no,10118.42,10118
38,male,1,no,5484.47,5484
27,female,3,yes,16420.49,16420
39,female,3,no,7986.48,7986
39,female,3,no,7418.52,7419
63,female,0,no,13887.97,13888
33,female,3,no,6551.75,6552
36,female,0,no,5267.82,5268
30,male,2,yes,17361.77,17362
24,male,0,yes,34472.84,34473
24,male,0,no,1972.95,1973
48,male,0,no,21232.18,21232
47,male,1,no,8627.54,8628
29,male,2,no,4433.39,4433
28,male,2,no,4438.26,4438
47,male,3,yes,24915.22,24915
25,male,2,no,23241.47,23241
51,male,1,no,9957.72,9958
48,female,0,no,8269.04,8269
43,male,2,yes,18767.74,18768
61,female,4,no,36580.28,36580
48,male,1,no,8765.25,8765
38,female,0,no,5383.54,5384
59,male,0,no,12124.99,12125
19,female,1,no,2709.24,2709
26,female,2,no,3987.93,3988
54,female,3,no,12495.29,12495
21,female,2,no,26018.95,26019
51,male,0,no,8798.59,8799
22,female,3,yes,35595.59,35596
47,male,1,yes,42211.14,42211
18,male,1,no,1711.03,1711
47,female,1,no,8569.86,8570
21,female,0,no,2020.18,2020
19,male,1,yes,16450.89,16451
23,male,0,no,21595.38,21595
54,male,0,no,9850.43,9850
37,female,2,no,6877.98,6878
46,female,1,yes,21677.28,21677
55,female,0,yes,44423.8,44424
30,female,0,no,4137.52,4138
18,male,0,yes,13747.87,13748
61,male,0,no,12950.07,12950
54,female,3,no,12094.48,12094
22,male,2,yes,37484.45,37484
45,female,1,yes,39725.52,39726
22,male,0,no,2250.84,2251
19,male,2,no,22493.66,22494
35,female,0,yes,20234.85,20235
18,male,0,no,1704.7,1705
20,male,0,yes,33475.82,33476
28,female,0,no,3161.45,3161
55,male,1,no,11394.07,11394
43,female,2,yes,21880.82,21881
43,female,0,no,7325.05,7325
22,male,1,yes,44501.4,44501
25,female,1,no,3594.17,3594
49,male,0,yes,39727.61,39728
44,female,1,no,8023.14,8023
64,male,0,no,14394.56,14395
49,male,1,no,9288.03,9288
47,male,3,yes,25309.49,25309
27,female,0,no,3353.47,3353
55,male,0,no,10594.5,10595
48,female,0,no,8277.52,8278
45,female,0,no,17929.3,17929
24,female,0,no,2480.98,2481
32,male,1,no,4462.72,4463
24,male,0,no,1981.58,1982
57,male,1,no,11554.22,11554
59,male,1,yes,48970.25,48970
36,male,3,no,6548.2,6548
29,female,4,no,5708.87,5709
42,female,1,no,7045.5,7046
48,male,2,no,8978.19,8978
39,male,0,no,5757.41,5757
63,male,1,no,14349.85,14350
54,female,1,no,10928.85,10929
37,male,1,yes,39871.7,39872
63,male,0,no,13974.46,13974
21,male,0,no,1909.53,1910
54,female,2,no,12096.65,12097
60,female,0,no,13204.29,13204
32,female,1,no,4562.84,4563
47,female,1,no,8551.35,8551
21,male,0,no,2102.26,2102
28,male,0,yes,34672.15,34672
63,male,3,no,15161.53,15162
18,male,2,no,11884.05,11884
32,male,1,no,4454.4,4454
38,male,1,no,5855.9,5856
32,male,1,no,4076.5,4077
62,female,2,no,15019.76,15020
39,female,5,yes,19023.26,19023
55,male,0,no,10796.35,10796
57,male,0,no,11353.23,11353
52,male,1,no,9748.91,9749
56,male,0,no,10577.09,10577
47,male,0,yes,41676.08,41676
55,female,0,no,11286.54,11287
23,male,3,no,3591.48,3591
22,female,0,yes,33907.55,33908
50,female,4,no,11299.34,11299
18,female,4,no,4561.19,4561
51,female,2,yes,44641.2,44641
22,male,0,no,1674.63,1675
52,female,0,no,23045.57,23046
25,female,1,no,3227.12,3227
33,female,2,yes,16776.3,16776
53,male,3,no,11253.42,11253
29,male,1,no,3471.41,3471
58,male,0,no,11363.28,11363
37,male,0,no,20420.6,20421
54,female,0,no,10338.93,10339
49,female,0,no,8988.16,8988
50,female,2,no,10493.95,10494
26,male,1,no,2904.09,2904
45,male,3,no,8605.36,8605
54,female,1,no,11512.41,11512
38,male,3,yes,41949.24,41949
48,female,3,yes,24180.93,24181
28,female,3,no,5312.17,5312
23,male,0,no,2396.1,2396
55,male,1,no,10807.49,10807
41,male,5,no,9222.4,9222
25,male,2,yes,36124.57,36125
33,male,1,yes,38282.75,38283
30,female,3,no,5693.43,5693
23,female,0,yes,34166.27,34166
46,male,2,no,8347.16,8347
53,female,3,yes,46661.44,46661
27,female,1,no,18903.49,18903
23,female,1,yes,40904.2,40904
63,female,0,no,14254.61,14255
55,male,0,no,10214.64,10215
35,female,2,no,5836.52,5837
34,male,1,no,14358.36,14358
19,female,0,no,1728.9,1729
39,female,5,no,8582.3,8582
27,male,2,no,3693.43,3693
57,male,0,no,20709.02,20709
52,female,0,no,9991.04,9991
28,male,0,no,19673.34,19673
50,female,3,no,11085.59,11086
44,female,1,no,7623.52,7624
26,female,0,no,3176.29,3176
33,male,0,no,3704.35,3704
19,female,0,yes,36898.73,36899
50,male,1,no,9048.03,9048
41,female,3,no,7954.52,7955
52,female,0,no,27117.99,27118
39,male,2,no,6338.08,6338
50,male,2,no,9630.4,9630
52,male,3,no,11289.11,11289
60,male,0,yes,52590.83,52591
20,female,0,no,2261.57,2262
55,male,1,no,10791.96,10792
42,male,0,no,5979.73,5980
18,female,0,no,2203.74,2204
58,female,0,no,12235.84,12236
43,female,3,yes,40941.29,40941
35,female,1,no,5630.46,5630
48,female,4,no,11015.17,11015
36,female,3,no,7228.22,7228
19,male,0,yes,39722.75,39723
23,female,2,no,14426.07,14426
20,female,0,no,2459.72,2460
32,female,0,no,3989.84,3990
43,female,1,no,7727.25,7727
34,male,2,no,5124.19,5124
30,male,1,no,18963.17,18963
18,female,0,no,2200.83,2201
41,female,1,no,7153.55,7154
35,female,0,no,5227.99,5228
57,male,0,no,10982.5,10983
29,female,2,no,4529.48,4529
32,male,2,no,4670.64,4671
37,female,1,no,6112.35,6112
18,male,1,yes,17178.68,17179
43,female,2,yes,22478.6,22479
56,female,0,no,11093.62,11094
38,male,2,no,6457.84,6458
29,male,2,no,4433.92,4434
22,female,0,no,2154.36,2154
52,female,1,yes,23887.66,23888
40,female,1,no,6496.89,6497
23,female,0,no,2899.49,2899
31,male,0,yes,19350.37,19350
42,female,1,no,7650.77,7651
24,female,0,no,2850.68,2851
25,female,0,no,2632.99,2633
48,female,1,no,9447.38,9447
23,female,1,yes,18328.24,18328
45,male,2,no,8603.82,8604
20,male,3,yes,37465.34,37465
62,female,0,no,13844.8,13845
43,female,1,yes,21771.34,21771
23,female,0,no,13126.68,13127
31,female,2,no,5327.4,5327
41,female,1,no,13725.47,13725
58,female,1,no,13019.16,13019
48,female,0,no,8671.19,8671
31,female,0,no,4134.08,4134
19,female,3,no,18838.7,18839
19,female,0,yes,33307.55,33308
41,male,0,no,5699.84,5700
40,male,1,no,6393.6,6394
31,female,2,no,4934.71,4935
37,male,2,no,6198.75,6199
46,male,2,no,8733.23,8733
22,male,0,no,2055.32,2055
51,male,1,no,9964.06,9964
18,female,3,yes,18223.45,18223
35,male,1,no,5116.5,5117
59,female,2,no,36910.61,36911
36,male,2,yes,38415.47,38415
37,female,1,yes,20296.86,20297
59,male,1,no,12347.17,12347
36,male,1,no,5373.36,5373
39,male,2,no,23563.02,23563
18,male,0,no,1702.46,1702
52,female,2,no,10806.84,10807
27,female,1,no,3956.07,3956
18,male,0,no,12890.06,12890
40,male,0,no,5415.66,5416
29,male,2,no,4058.12,4058
46,female,1,yes,41661.6,41662
38,female,3,no,7537.16,7537
30,female,1,no,4718.2,4718
40,male,2,no,6593.51,6594
50,male,0,no,8442.67,8443
20,female,0,yes,26125.67,26126
41,male,1,no,6858.48,6858
33,female,1,no,4795.66,4796
38,male,2,no,6640.54,6641
42,male,2,no,7162.01,7162
56,male,0,no,10594.23,10594
58,male,0,no,11938.26,11938
52,male,3,yes,60021.4,60021
20,female,0,yes,20167.34,20167
54,female,3,no,12479.71,12480
58,male,0,no,11345.52,11346
45,female,2,no,8515.76,8516
26,male,0,no,2699.57,2700
63,female,0,no,14449.85,14450
58,female,0,no,12224.35,12224
37,male,3,no,6985.51,6986
25,female,1,no,3238.44,3238
52,male,2,yes,47269.85,47270
64,male,2,yes,49577.66,49578
22,female,3,no,4296.27,4296
28,female,0,no,3171.61,3172
18,male,0,no,1135.94,1136
28,male,5,no,5615.37,5615
45,female,3,no,9101.8,9102
33,male,4,no,6059.17,6059
18,female,0,no,1633.96,1634
32,male,1,yes,37607.53,37608
24,male,0,yes,18648.42,18648
19,male,0,no,1241.57,1242
20,male,0,yes,16232.85,16233
40,female,4,no,15828.82,15829
34,female,0,no,4415.16,4415
42,female,0,no,6474.01,6474
51,female,3,no,11436.74,11437
54,female,1,no,11305.93,11306
55,male,3,no,30063.58,30064
52,female,0,no,10197.77,10198
32,female,0,no,4544.23,4544
28,male,1,no,3277.16,3277
41,female,1,no,6770.19,6770
43,female,1,no,7337.75,7338
49,female,2,no,10370.91,10371
64,male,0,yes,26926.51,26927
55,female,0,no,10704.47,10704
24,male,0,yes,34254.05,34254
20,female,0,no,1880.49,1880
45,male,3,no,8615.3,8615
26,male,1,no,3292.53,3293
25,female,0,no,3021.81,3022
43,male,5,no,14478.33,14478
35,male,1,no,4747.05,4747
26,male,0,yes,17043.34,17043
57,male,0,no,10959.33,10959
22,female,0,no,2741.95,2742
32,female,0,no,4357.04,4357
39,male,1,yes,22462.04,22462
25,female,2,no,4189.11,4189
48,female,0,no,8283.68,8284
47,female,2,yes,24535.7,24536
18,female,0,yes,14283.46,14283
18,male,1,no,1720.35,1720
61,male,1,yes,47403.88,47404
47,female,0,no,8534.67,8535
28,female,0,no,3732.63,3733
36,female,1,no,5472.45,5472
20,male,2,yes,38344.57,38345
44,male,1,no,7147.47,7147
38,female,2,no,7133.9,7134
19,male,0,yes,34828.65,34829
21,male,0,no,1515.34,1515
46,male,3,no,9301.89,9302
58,male,0,no,11931.13,11931
20,male,1,no,1964.78,1965
18,male,0,no,1708.93,1709
28,female,2,no,4340.44,4340
33,male,2,no,5261.47,5261
19,female,1,no,2710.83,2711
45,male,0,yes,62592.87,62593
62,male,3,yes,46718.16,46718
25,female,1,no,3208.79,3209
43,male,0,yes,37829.72,37830
42,male,2,yes,21259.38,21259
24,female,0,no,2464.62,2465
29,female,0,yes,16115.3,16115
32,male,4,yes,21472.48,21472
25,female,0,yes,33900.65,33901
41,male,2,no,6875.96,6876
42,male,1,no,6940.91,6941
33,female,0,no,4571.41,4571
34,male,1,no,4536.26,4536
19,female,2,yes,36397.58,36398
30,female,3,yes,18765.88,18766
18,male,1,no,11272.33,11272
19,female,0,no,1731.68,1732
18,male,0,no,1163.46,1163
35,male,4,no,19496.72,19497
39,female,2,no,7201.7,7202
31,male,3,no,5425.02,5425
62,male,0,yes,28101.33,28101
62,male,0,no,12981.35,12981
42,female,2,yes,43896.38,43896
31,male,1,no,4239.89,4240
61,male,0,no,13143.34,13143
42,female,0,no,7050.02,7050
51,male,1,no,9377.9,9378
23,female,2,no,22395.74,22396
52,male,2,no,10325.21,10325
57,female,2,no,12629.17,12629
23,female,0,no,10795.94,10796
52,female,3,no,11411.69,11412
50,male,3,no,10600.55,10601
18,female,0,no,2205.98,2206
18,female,0,no,1629.83,1630
21,female,0,no,2007.95,2008
61,female,0,yes,29141.36,29141
